"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16015","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open the 1 ton - 2.5 ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","3602","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on Top Bus Brands
**Language:** en

**Description:**
Open the Top Bus Brands directory page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Top Bus Brands"" heading at the top of the page.

**Steps:**
1. Open the Top Bus Brands page
2. Verify the main page heading is visible","1228","TC-DIR-01: page heading is visible on Top Bus Brands","UtilityPages - DirectoryPage [allBusBrands] [en] — Top Bus Brands","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Truck Junction Blog
**Language:** en

**Description:**
Open the Truck Junction Blog page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Truck Junction Blog"" heading at the top of the page.

**Steps:**
1. Open the Truck Junction Blog page
2. Verify the main page heading is visible","1059","TC-CDT-01: page heading is visible on Truck Junction Blog","UtilityPages - ContentDetailPage [blogHub] [en] — Truck Junction Blog","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 20 ton - 40 ton Trucks
**Language:** en

**Description:**
Open the 20 ton - 40 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 20 ton - 40 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","3253","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 20 ton - 40 ton Trucks","CategoryPages - PayloadListing [ton20to40] [en] — 20 ton - 40 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on 10 ton - 20 ton Trucks
**Language:** en

**Description:**
Open 10 ton - 20 ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the 10 ton - 20 ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1132","TC-PL-05: listing heading, filters and cards on 10 ton - 20 ton Trucks","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open the 1 ton - 2.5 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","3440","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","12968","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton40to300] [en] — 40 ton - 300 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on 40 ton - 300 ton Trucks
**Language:** en

**Description:**
Open the 40 ton - 300 ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 40 ton - 300 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","7899","TC-PL-01: Check Truck Price lead submits successfully on 40 ton - 300 ton Trucks","CategoryPages - PayloadListing [ton40to300] [en] — 40 ton - 300 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 2.5 ton - 5 ton Trucks
**Language:** en

**Description:**
Open the 2.5 ton - 5 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 2.5 ton - 5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","3215","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 2.5 ton - 5 ton Trucks","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on Under 1 Ton Trucks
**Language:** en

**Description:**
Open Under 1 Ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1213","TC-PL-05: listing heading, filters and cards on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 20 ton - 40 ton Trucks
**Language:** en

**Description:**
Open the 20 ton - 40 ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 20 ton - 40 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","2638","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on 20 ton - 40 ton Trucks","CategoryPages - PayloadListing [ton20to40] [en] — 20 ton - 40 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","8430","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [authorDetail] [en] — Author Profile","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on 2.5 ton - 5 ton Trucks
**Language:** en

**Description:**
Open 2.5 ton - 5 ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the 2.5 ton - 5 ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1443","TC-PL-05: listing heading, filters and cards on 2.5 ton - 5 ton Trucks","CategoryPages - PayloadListing [ton2_5to5] [en] — 2.5 ton - 5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","34839","TC-DIR-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - DirectoryPage [allTruckBrands] [en] — All Truck Brands","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-04
**Title:** Call Now assistance lead submits successfully on 40 ton - 300 ton Trucks
**Language:** en

**Description:**
Open the 40 ton - 300 ton Trucks page, click the ""Still confused?"" widget's Call Now button to open the assistance lead form, fill model, name, mobile and city, and submit.

**Expected Result:**
The assistance form closes after a successful submission.

**Steps:**
1. Open the 40 ton - 300 ton Trucks page
2. Click Call Now to open the assistance lead form
3. Fill model, name, mobile and city
4. Submit and verify the assistance form closes","4917","TC-PL-04: Call Now assistance lead submits successfully on 40 ton - 300 ton Trucks","CategoryPages - PayloadListing [ton40to300] [en] — 40 ton - 300 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","22460","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","16420","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton5to10] [en] — 5 ton - 10 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on Under 1 Ton Trucks
**Language:** en

**Description:**
Open the Under 1 Ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","2868","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open the 1 ton - 2.5 ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","5056","TC-PL-01: Check Truck Price lead submits successfully on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Sitemap
**Language:** en

**Description:**
Open the Sitemap page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Truck Junction - Sitemap"" heading at the top of the page.

**Steps:**
1. Open the Sitemap page
2. Verify the main page heading is visible","2287","TC-CDT-01: page heading is visible on Sitemap","UtilityPages - ContentDetailPage [sitemap] [en] — Sitemap","2026-08-27","passed","2026-08-27","","","",""
"","12423","TC-DIR-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - DirectoryPage [allBusBrands] [en] — Top Bus Brands","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-05
**Title:** listing heading, filters and cards on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open 1 ton - 2.5 ton Trucks and confirm the page heading and at least one listing card CTA. Filter By is checked when that row is present.

**Expected Result:**
Page heading is visible and at least one listing card button is shown.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Verify the page heading
3. Verify listing cards (and Filter By when present)","1278","TC-PL-05: listing heading, filters and cards on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on All Truck Brands
**Language:** en

**Description:**
Open the All Truck Brands directory page and verify its main heading is shown.

**Expected Result:**
The user sees the ""All Truck Brands"" heading at the top of the page.

**Steps:**
1. Open the All Truck Brands page
2. Verify the main page heading is visible","2516","TC-DIR-01: page heading is visible on All Truck Brands","UtilityPages - DirectoryPage [allTruckBrands] [en] — All Truck Brands","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on News Article Detail
**Language:** en

**Description:**
Open the News Article Detail page and verify its main heading is shown.

**Expected Result:**
The user sees the ""EKA 2.5T: Bharat Ki EVCV with 180 KM Range & 1500 KG Payload"" heading at the top of the page.

**Steps:**
1. Open the News Article Detail page
2. Verify the main page heading is visible","1763","TC-CDT-01: page heading is visible on News Article Detail","UtilityPages - ContentDetailPage [newsDetail] [en] — News Article Detail","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on Under 1 Ton Trucks
**Language:** en

**Description:**
Open the Under 1 Ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","3046","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","29302","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [sitemap] [en] — Sitemap","2026-08-27","passed","2026-08-27","","","",""
"","19524","TC-DIR-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - DirectoryPage [truckSeries] [en] — Popular Truck Series","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-04
**Title:** Call Now assistance lead submits successfully on Under 1 Ton Trucks
**Language:** en

**Description:**
Open the Under 1 Ton Trucks page, click the ""Still confused?"" widget's Call Now button to open the assistance lead form, fill model, name, mobile and city, and submit.

**Expected Result:**
The assistance form closes after a successful submission.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Click Call Now to open the assistance lead form
3. Fill model, name, mobile and city
4. Submit and verify the assistance form closes","5702","TC-PL-04: Call Now assistance lead submits successfully on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CUS-01
**Title:** Submit Request enquiry submits successfully on Contact Us
**Language:** en

**Description:**
Open the Contact Us page, fill name, mobile, email and message, and click Submit Request.

**Expected Result:**
The user sees the thank-you message: ""Thank you for contacting us, Our executive will call you soon!!"".

**Steps:**
1. Open the Contact Us page
2. Fill name, mobile, email and message
3. Click Submit Request
4. Verify the thank-you confirmation message is shown","10159","TC-CUS-01: Submit Request enquiry submits successfully on Contact Us","UtilityPages - ContactUs [en] — Contact Us","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CUS-03
**Title:** Submit Request form rejects mobile that is not 10 digits on Contact Us
**Language:** en

**Description:**
Open the Contact Us page, fill a valid name and an invalid (5-digit) mobile number, leave email and message empty, then submit.

**Expected Result:**
The real mobile-format, email-required and message-required validation messages are displayed, and no enquiry is submitted.

**Steps:**
1. Open the Contact Us page
2. Fill a valid name and an invalid mobile number
3. Leave email and message empty
4. Click Submit Request
5. Verify the mobile-format and other validation messages are shown","4111","TC-CUS-03: Submit Request form rejects mobile that is not 10 digits on Contact Us","UtilityPages - ContactUs [en] — Contact Us","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-01
**Title:** Check Truck Price lead submits successfully on Under 1 Ton Trucks
**Language:** en

**Description:**
Open the Under 1 Ton Trucks page, click a truck card's ""Check Truck Price"" button to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the Under 1 Ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","9066","TC-PL-01: Check Truck Price lead submits successfully on Under 1 Ton Trucks","CategoryPages - PayloadListing [under1Ton] [en] — Under 1 Ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-DIR-01
**Title:** Page heading is visible on Popular Truck Series
**Language:** en

**Description:**
Open the Popular Truck Series directory page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Popular Truck Series"" heading at the top of the page.

**Steps:**
1. Open the Popular Truck Series page
2. Verify the main page heading is visible","1242","TC-DIR-01: page heading is visible on Popular Truck Series","UtilityPages - DirectoryPage [truckSeries] [en] — Popular Truck Series","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on Author Profile
**Language:** en

**Description:**
Open the Author Profile page and verify its main heading is shown.

**Expected Result:**
The user sees the ""Neeraj Joshi"" heading at the top of the page.

**Steps:**
1. Open the Author Profile page
2. Verify the main page heading is visible","797","TC-CDT-01: page heading is visible on Author Profile","UtilityPages - ContentDetailPage [authorDetail] [en] — Author Profile","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-04
**Title:** Call Now assistance lead submits successfully on 1 ton - 2.5 ton Trucks
**Language:** en

**Description:**
Open the 1 ton - 2.5 ton Trucks page, click the ""Still confused?"" widget's Call Now button to open the assistance lead form, fill model, name, mobile and city, and submit.

**Expected Result:**
The assistance form closes after a successful submission.

**Steps:**
1. Open the 1 ton - 2.5 ton Trucks page
2. Click Call Now to open the assistance lead form
3. Fill model, name, mobile and city
4. Submit and verify the assistance form closes","5911","TC-PL-04: Call Now assistance lead submits successfully on 1 ton - 2.5 ton Trucks","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 10 ton - 20 ton Trucks
**Language:** en

**Description:**
Open the 10 ton - 20 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 10 ton - 20 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","3661","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 10 ton - 20 ton Trucks","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","6915","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [authorsHub] [en] — All Authors","2026-08-27","passed","2026-08-27","","","",""
"","11397","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-03
**Title:** Check Truck Price lead form rejects mobile that is not 10 digits on 40 ton - 300 ton Trucks
**Language:** en

**Description:**
Open the 40 ton - 300 ton Trucks page, open Check Truck Price, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the 40 ton - 300 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","3484","TC-PL-03: Check Truck Price lead form rejects mobile that is not 10 digits on 40 ton - 300 ton Trucks","CategoryPages - PayloadListing [ton40to300] [en] — 40 ton - 300 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-CDT-01
**Title:** Page heading is visible on All Authors
**Language:** en

**Description:**
Open the All Authors page and verify its main heading is shown.

**Expected Result:**
The user sees the ""All Authors"" heading at the top of the page.

**Steps:**
1. Open the All Authors page
2. Verify the main page heading is visible","1455","TC-CDT-01: page heading is visible on All Authors","UtilityPages - ContentDetailPage [authorsHub] [en] — All Authors","2026-08-27","passed","2026-08-27","","","",""
"**Test Case ID:** TC-PL-02
**Title:** Check Truck Price lead form shows required validation when submitted empty on 10 ton - 20 ton Trucks
**Language:** en

**Description:**
Open the 10 ton - 20 ton Trucks page, open Check Truck Price, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the 10 ton - 20 ton Trucks page
2. Click a truck card's ""Check Truck Price"" button to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","2812","TC-PL-02: Check Truck Price lead form shows required validation when submitted empty on 10 ton - 20 ton Trucks","CategoryPages - PayloadListing [ton10to20] [en] — 10 ton - 20 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","13646","TC-PL-00: page links resolve 200/30x; broken links are logged, not failed","CategoryPages - PayloadListing [ton1to2_5] [en] — 1 ton - 2.5 ton Trucks","2026-08-27","passed","2026-08-27","","","",""
"","17752","TC-CDT-00: page links resolve 200/30x; broken links are logged, not failed","UtilityPages - ContentDetailPage [blogHub] [en] — Truck Junction Blog","2026-08-27","passed","2026-08-27","","","",""
