"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on Brochure [ta] matches the stored snapshot
**Language:** ta

**Description:**
Open Brochure (ta) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on Brochure (ta) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open Brochure (ta)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","995","TC-SEOS-01: heading structure on Brochure [ta] matches the stored snapshot","SEO structure - Brochure [brochure] [ta] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-02
**Title:** FAQ questions on Brochure [hi] match the stored snapshot
**Language:** hi

**Description:**
Compare the FAQ heading and questions on Brochure (hi) with the stored snapshot. Pages with no FAQ must still have none.

**Expected Result:**
FAQ heading and questions on Brochure (hi) are unchanged.

**Steps:**
1. Open Brochure (hi)
2. Read the FAQ block
3. Compare with the stored snapshot","4732","TC-SEOS-02: FAQ questions on Brochure [hi] match the stored snapshot","SEO structure - Brochure [brochure] [hi] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-01
**Title:** Download Brochure lead submits successfully on Brochure
**Language:** en

**Description:**
Open the Brochure page, click Download Brochure to open its lead form (the same shared Check Offers modal, submit button reads ""Check Offers""), fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the Brochure page
2. Click Download Brochure to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","9408","TC-BR-01: Download Brochure lead submits successfully on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on New Buses [en] still matches the snapshot
**Language:** en

**Description:**
Confirm New Buses (en) still has the same number of SEO headings as the snapshot.

**Expected Result:**
New Buses (en) still has 10 SEO headings.

**Steps:**
1. Open New Buses (en)
2. Count SEO headings
3. Compare with the snapshot count","711","TC-SEOS-04: heading count on New Buses [en] still matches the snapshot","SEO structure - Buses [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-06
**Title:** Download Brochure lead form rejects mobile that is not 10 digits on Brochure
**Language:** en

**Description:**
Open the Brochure page, click Download Brochure, fill a valid name, an invalid (5-digit) mobile number, and leave city empty, then submit.

**Expected Result:**
The real, page-shown mobile-format and location-required validation messages are displayed, and no lead is submitted.

**Steps:**
1. Open the Brochure page
2. Click Download Brochure to open its lead form
3. Fill a valid name and an invalid mobile number
4. Submit with city left empty
5. Verify the mobile-format and location validation messages are shown","3552","TC-BR-06: Download Brochure lead form rejects mobile that is not 10 digits on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-04
**Title:** Heading count on Brochure [en] still matches the snapshot
**Language:** en

**Description:**
Confirm Brochure (en) still has the same number of SEO headings as the snapshot.

**Expected Result:**
Brochure (en) still has 14 SEO headings.

**Steps:**
1. Open Brochure (en)
2. Count SEO headings
3. Compare with the snapshot count","646","TC-SEOS-04: heading count on Brochure [en] still matches the snapshot","SEO structure - Brochure [brochure] [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on Brochure [en] matches the stored snapshot
**Language:** en

**Description:**
Open Brochure (en) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on Brochure (en) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open Brochure (en)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","8206","TC-SEOS-01: heading structure on Brochure [en] matches the stored snapshot","SEO structure - Brochure [brochure] [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"","13716","TC-BUS-00: page links resolve 200/30x; broken links are logged, not failed","Buses - BusListing [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-02
**Title:** Download Brochure lead submits successfully from the ""Popular"" tab on Brochure
**Language:** en

**Description:**
Open the Brochure page, switch the ""Best Selling Trucks"" carousel to the ""Popular"" tab, click a card's Download Brochure button to open its lead form (the same shared Check Offers modal used elsewhere on the page), fill name, mobile and city, and submit. Every tab is its own entry point even though all tabs open the same underlying form.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the Brochure page
2. Switch the Best Selling Trucks carousel to the ""Popular"" tab
3. Click a card's Download Brochure button to open its lead form
4. Fill name, mobile and city
5. Submit and verify Thank You confirmation","13298","TC-BR-02: Download Brochure lead submits successfully from the ""Popular"" tab on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on New Buses [en] matches the stored snapshot
**Language:** en

**Description:**
Open New Buses (en) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on New Buses (en) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open New Buses (en)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","1044","TC-SEOS-01: heading structure on New Buses [en] matches the stored snapshot","SEO structure - Buses [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-01
**Title:** Heading structure on Brochure [hi] matches the stored snapshot
**Language:** hi

**Description:**
Open Brochure (hi) and compare live SEO headings with the snapshot. Allure and artifacts/seo-structure-report.xlsx show expected vs actual so a changed heading can be copied into test data after it is confirmed.

**Expected Result:**
Every stored heading on Brochure (hi) is still present with the same tag. Extra or missing headings fail the check; order on the page may differ.

**Steps:**
1. Open Brochure (hi)
2. Expand Read More if the About block is collapsed
3. Compare live headings with the stored snapshot","1404","TC-SEOS-01: heading structure on Brochure [hi] matches the stored snapshot","SEO structure - Brochure [brochure] [hi] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on Brochure [hi]
**Language:** hi

**Description:**
Confirm every heading stored for Brochure (hi) still exists on the live page.

**Expected Result:**
No stored heading is missing on Brochure (hi).

**Steps:**
1. Open Brochure (hi)
2. Check each stored heading is still on the page","3115","TC-SEOS-03: none of the stored headings are missing on Brochure [hi]","SEO structure - Brochure [brochure] [hi] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-09
**Title:** FAQ question expands on Brochure
**Language:** en

**Description:**
Open a Frequently Asked Question on Brochure and confirm the answer is shown.

**Expected Result:**
The selected question’s answer is visible.

**Steps:**
1. Open the Brochure page
2. Open an FAQ question
3. Verify the answer is shown","1055","TC-BR-09: FAQ question expands on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-08
**Title:** Select Truck to download Brochure and Search are visible on Brochure
**Language:** en

**Description:**
Confirm the Select Truck to download Brochure block and its Search button on Brochure.

**Expected Result:**
Select Truck to download Brochure heading and Search are visible.

**Steps:**
1. Open the Brochure page
2. Locate Select Truck to download Brochure
3. Verify Search is shown","2356","TC-BR-08: Select Truck to download Brochure and Search are visible on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"","7559","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - Buses [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"","10316","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - Brochure [brochure] [ta] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BUS-01
**Title:** Lead submits successfully on New Buses
**Language:** en

**Description:**
Open the New Buses page, click ""Check Bus Price"" to open its lead form, fill name, mobile and city, and submit.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the New Buses page
2. Click ""Check Bus Price"" to open its lead form
3. Fill name, mobile and city
4. Submit and verify Thank You confirmation","6411","TC-BUS-01: lead submits successfully on New Buses","Buses - BusListing [newBuses] [en] — New Buses","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-07
**Title:** Brochure page heading is visible on Brochure
**Language:** en

**Description:**
Open Brochure and confirm the Download Truck Brochures heading.

**Expected Result:**
Download Truck Brochures heading is visible.

**Steps:**
1. Open the Brochure page
2. Verify the page heading","1477","TC-BR-07: Brochure page heading is visible on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"","21023","TC-BR-00: page links resolve 200/30x; broken links are logged, not failed","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-05
**Title:** Download Brochure lead form shows required validation when submitted empty on Brochure
**Language:** en

**Description:**
Open the Brochure page, click Download Brochure, and submit with name, mobile and city all left empty.

**Expected Result:**
The real, page-shown validation messages for name, mobile and location are displayed, and no lead is submitted.

**Steps:**
1. Open the Brochure page
2. Click Download Brochure to open its lead form
3. Leave name, mobile and city empty and submit
4. Verify all three required-field validation messages are shown","1328","TC-BR-05: Download Brochure lead form shows required validation when submitted empty on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-BR-04
**Title:** Download Brochure lead submits successfully from the ""Latest"" tab on Brochure
**Language:** en

**Description:**
Open the Brochure page, switch the ""Best Selling Trucks"" carousel to the ""Latest"" tab, click a card's Download Brochure button to open its lead form (the same shared Check Offers modal used elsewhere on the page), fill name, mobile and city, and submit. Every tab is its own entry point even though all tabs open the same underlying form.

**Expected Result:**
A Thank You confirmation is shown after a successful lead submission.

**Steps:**
1. Open the Brochure page
2. Switch the Best Selling Trucks carousel to the ""Latest"" tab
3. Click a card's Download Brochure button to open its lead form
4. Fill name, mobile and city
5. Submit and verify Thank You confirmation","4158","TC-BR-04: Download Brochure lead submits successfully from the ""Latest"" tab on Brochure","Brochure - Brochure [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"**Test Case ID:** TC-SEOS-03
**Title:** None of the stored headings are missing on Brochure [en]
**Language:** en

**Description:**
Confirm every heading stored for Brochure (en) still exists on the live page.

**Expected Result:**
No stored heading is missing on Brochure (en).

**Steps:**
1. Open Brochure (en)
2. Check each stored heading is still on the page","668","TC-SEOS-03: none of the stored headings are missing on Brochure [en]","SEO structure - Brochure [brochure] [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
"","17548","TC-SEOS-00: page links resolve 200/30x; broken links are logged, not failed","SEO structure - Brochure [brochure] [en] — Brochure","2026-08-31","passed","2026-08-31","","","",""
